State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date,Avg Temperature,PR Score,Course Score
Alaska,AK,Mayors Marathon,Anchorage,665,Hilly,842,982,06/20/2026,56,98.38,98.38
Alaska,AK,Humpys Marathon,Anchorage,232,Rolling Hills,823,823,08/16/2026,57,97.60,98.08
Alabama,AL,Rocket City Marathon,Huntsville,1184,Rolling Hills,667,671,12/13/2026,45,98.60,98.60
Alabama,AL,Big Beach Marathon,Gulf Shores,383,Mostly Flat,314,314,01/31/2027,52,99.15,99.30
Alabama,AL,BHM 26.2 Marathon,Birmingham,185,Hilly,1222,1222,10/04/2026,62,96.12,96.98
Alabama,AL,Boston or Bust Marathon,Huntsville,153,Mostly Flat,282,282,09/13/2026,77,95.15,99.45
Alabama,AL,We Run this Beach Marathon,Gulf Shores,145,Mostly Flat,319,323,02/22/2026,54,98.86,99.36
Alabama,AL,Race to Space Marathon,Huntsville,129,Mostly Flat,0,0,03/21/2027,55,0.00,0.00
Alabama,AL,Mobile Marathon,Mobile,114,Flat,199,199,01/10/2027,48,99.57,99.57
Arkansas,AR,Little Rock Marathon,Little Rock,1208,Rolling Hills,828,828,03/07/2027,50,98.04,98.04
Arkansas,AR,Hogeye Marathon,Springdale,397,Rolling Hills,0,0,04/17/2027,52,97.84,97.84
Arkansas,AR,3 Bridges Marathon,Little Rock,180,Flat,159,159,12/05/2026,41,99.66,99.66
Arkansas,AR,White River Marathon,Cotter,147,Mostly Flat,482,640,11/21/2026,45,99.31,99.31
Arizona,AZ,Mesa Marathon,Mesa,3008,Downhill,288,1154,02/13/2027,59,101.52,101.52
Arizona,AZ,Phoenix Marathon,Phoenix,2372,Rolling Hills,417,562,12/12/2026,53,99.51,99.51
Arizona,AZ,Tucson Marathon,Tucson,1125,Downhill,261,1763,12/13/2026,51,102.96,102.96
Arizona,AZ,Garmin Marathon - Tucson,Tucson,447,Rolling Hills,827,827,11/08/2026,62,98.07,98.07
Arizona,AZ,Buckeye Marathon,Buckeye,212,Downhill,183,816,01/10/2026,52,101.26,101.26
Arizona,AZ,Marathon Project (Gold Wave),Chandler,147,Flat,144,144,12/12/2026,53,99.72,99.72
California,CA,Los Angeles Marathon,Los Angeles,21933,Rolling Hills,943,1169,03/08/2026,61,97.34,98.22
California,CA,California International Marathon,Sacramento,8178,Downhill,663,1003,12/06/2026,47,100.38,100.38
California,CA,Rock n Roll San Diego Marathon,San Diego,6657,Mostly Flat,813,1044,05/31/2026,65,96.77,98.59
California,CA,San Francisco Marathon,San Francisco,6536,Hilly,1365,1364,07/26/2026,60,95.59,96.44
California,CA,Long Beach Marathon,Long Beach,4722,Mostly Flat,470,462,10/11/2026,69,96.79,98.89
California,CA,OC Marathon,Costa Mesa,3563,Mostly Flat,559,681,05/02/2027,63,98.55,99.05
California,CA,Big Sur International Marathon,Carmel,3318,Hilly,1654,1949,04/26/2026,54,97.43,97.43
California,CA,Mountains 2 Beach Marathon,Ventura,2060,Downhill,536,1260,04/19/2026,60,99.93,100.64
California,CA,Surf City Marathon,Huntington Beach,1963,Mostly Flat,371,362,02/07/2027,58,99.15,99.15
California,CA,Napa Valley Marathon,Napa,1942,Downhill,564,867,03/07/2027,51,99.75,99.75
California,CA,Santa Rosa Marathon,Santa Rosa,1349,Mostly Flat,416,417,08/23/2026,68,98.47,99.16
California,CA,Ventura Marathon,Ventura,1313,Downhill,332,1267,02/22/2026,56,101.63,101.63
California,CA,Carlsbad Marathon,Carlsbad,1186,Rolling Hills,782,790,01/17/2027,53,98.24,98.24
California,CA,Oakland Marathon,Oakland,1061,Rolling Hills,764,754,03/22/2026,56,97.99,98.14
California,CA,Two Cities Marathon,Fresno,710,Mostly Flat,354,354,11/01/2026,56,99.32,99.32
California,CA,Avenue of the Giants Marathon,Weott,545,Hilly,695,689,05/03/2026,49,98.41,98.41
California,CA,Bakersfield Marathon,Bakersfield,464,Hilly,568,568,04/04/2027,60,98.67,98.67
California,CA,Modesto Marathon,Modesto,366,Mostly Flat,177,177,03/22/2026,59,99.63,99.63
California,CA,SoCal Marathon,Huntington Beach,267,Downhill,222,583,02/27/2027,56,100.38,100.71
California,CA,Redding Marathon,Redding,239,Downhill,754,1326,01/17/2027,45,99.35,99.35
California,CA,Humboldt Redwoods Marathon,Weott,230,Rolling Hills,695,689,10/11/2026,51,98.54,98.54
California,CA,Surfers Point Marathon,Ventura,214,Mostly Flat,328,328,09/06/2026,68,98.84,99.34
California,CA,Santa Clarita Marathon,Santa Clarita,204,Mostly Flat,0,0,11/15/2026,60,0.00,0.00
California,CA,Shoreline Marathon,Ventura,188,Mostly Flat,328,328,07/12/2026,66,96.95,99.34
California,CA,Seaside Marathon,Ventura,120,Mostly Flat,328,328,06/07/2026,61,97.99,99.34
California,CA,Camarillo Marathon,Camarillo,107,Mostly Flat,404,404,08/02/2026,68,96.46,99.13
Colorado,CO,Colfax Marathon,Denver,2917,Rolling Hills,693,694,05/17/2026,59,92.77,92.77
Colorado,CO,Boulderthon - Boulder Marathon,Boulder,1998,Hilly,836,824,09/27/2026,53,92.57,92.57
Colorado,CO,Colorado Marathon,Fort Collins,1162,Downhill,206,1336,05/02/2027,53,98.77,98.77
Colorado,CO,Aspen Valley Marathon,Basalt,222,Downhill,305,1644,07/25/2026,49,96.36,96.67
Colorado,CO,Long View Marathon,Loveland,157,Rolling Hills,628,706,10/10/2026,53,93.72,93.72
Connecticut,CT,Hartford Marathon,Hartford,1915,Rolling Hills,754,782,10/10/2026,53,98.39,98.39
Connecticut,CT,Savin Rock Marathon,West Haven,133,Rolling Hills,0,0,04/03/2027,38,96.77,96.77
Delaware,DE,Rehoboth Beach Marathon,Rehoboth Beach,980,Mostly Flat,261,253,12/05/2026,40,99.41,99.41
Delaware,DE,Coastal Delaware Running Festival Marathon,Rehoboth Beach,747,Mostly Flat,272,272,04/11/2027,56,99.09,99.41
Delaware,DE,Delaware Marathon,Wilmington,643,Rolling Hills,1025,1025,04/19/2026,58,97.18,97.49
Florida,FL,Walt Disney World Marathon,Orlando,13291,Flat,260,258,01/10/2027,58,99.31,99.47
Florida,FL,Miami Marathon,Miami,3251,Mostly Flat,254,253,01/31/2027,68,97.08,99.48
Florida,FL,Space Coast Marathon,Cocoa,940,Flat,262,259,11/22/2026,64,98.14,99.49
Florida,FL,Palm Beaches Marathon,West Palm Beach,886,Flat,88,88,12/13/2026,70,96.78,99.79
Florida,FL,Donna Marathon,Jacksonville Beach,861,Flat,240,240,02/07/2027,56,99.36,99.51
Florida,FL,Ft. Lauderdale A1A Marathon,Ft. Lauderdale,738,Flat,129,129,02/14/2027,67,97.34,99.75
Florida,FL,Jacksonville Marathon,Jacksonville,703,Flat,219,220,12/13/2025,53,99.54,99.54
Florida,FL,St. Petersburg Distance Classic Marathon,St. Petersburg,693,Mostly Flat,164,164,02/07/2027,64,98.03,99.63
Florida,FL,Clearwater Marathon,Clearwater,534,Mostly Flat,621,621,01/31/2027,64,97.67,98.56
Florida,FL,Town of Celebration Marathon,Celebration,400,Flat,217,217,01/31/2027,60,98.88,99.58
Florida,FL,Tallahassee Marathon,Tallahassee,379,Rolling Hills,662,810,02/08/2026,53,98.85,98.85
Florida,FL,Florida Marathon,Melbourne,328,Mostly Flat,418,414,02/07/2027,61,98.54,99.04
Florida,FL,Panama City Beach Marathon,Panama City,295,Flat,0,0,12/05/2026,56,99.47,99.62
Florida,FL,Marathon of the Treasure Coast,Stuart,245,Mostly Flat,0,0,03/07/2027,66,96.18,99.15
Florida,FL,Central Florida Legends Marathon,DeBary,167,Mostly Flat,335,335,11/14/2026,67,96.93,99.32
Georgia,GA,Atlanta Marathon,Atlanta,3078,Rolling Hills,1338,1315,03/01/2026,50,96.88,96.88
Georgia,GA,Classic City Marathon,Athens,354,Hilly,1130,1153,03/20/2027,56,97.43,97.43
Georgia,GA,Chickamauga Battlefield Marathon,Chickamauga,352,Rolling Hills,907,907,11/14/2026,53,97.99,97.99
Georgia,GA,Combos Marathon,Albany,253,Mostly Flat,555,564,03/06/2027,55,98.89,98.89
Georgia,GA,Silver Comet Marathon,Mableton,252,Rolling Hills,773,812,10/31/2026,58,97.69,98.18
Georgia,GA,Heroes of America Marathon,Columbus,114,Rolling Hills,0,0,03/20/2027,60,0.00,0.00
Hawaii,HI,Honolulu Marathon,Honolulu,22745,Mostly Flat,457,455,12/13/2026,75,95.01,98.93
Hawaii,HI,Maui Marathon,Kaanapali,404,Mostly Flat,151,151,04/25/2027,74,96.68,99.68
Hawaii,HI,Maui Oceanfront Marathon,Maui,206,Mostly Flat,765,830,01/17/2027,72,95.12,98.35
Hawaii,HI,Kona Marathon,Kailua-Kona,125,Rolling Hills,0,0,07/04/2026,77,0.00,0.00
Hawaii,HI,Big Island International Marathon,Hilo,115,Rolling Hills,0,0,03/14/2027,72,93.70,97.16
Iowa,IA,Des Moines Marathon,Des Moines,1889,Rolling Hills,682,682,10/18/2026,52,98.43,98.43
Iowa,IA,Des Moines St. Paddys Marathon,Des Moines,201,Rolling Hills,443,443,03/14/2026,41,99.15,99.15
Idaho,ID,Coeur d Alene Marathon,Coeur d' Alene,523,Rolling Hills,786,807,05/24/2026,59,98.17,98.17
Idaho,ID,Famous Idaho Potato Marathon,Boise,264,Mostly Flat,297,304,05/16/2026,58,99.02,99.02
Idaho,ID,Boise Marathon,Boise,109,Mostly Flat,0,0,06/20/2026,69,99.00,99.00
Illinois,IL,Chicago Marathon,Chicago,54382,Flat,243,242,10/11/2026,57,99.76,99.76
Illinois,IL,Illinois Marathon,Champaign-Urbana,1099,Mostly Flat,456,483,04/25/2026,56,99.12,99.12
Illinois,IL,Quad Cities Marathon,Moline,540,Mostly Flat,511,511,09/27/2026,61,96.14,98.80
Illinois,IL,Chicagoland Spring Marathon,Schaumburg,534,Mostly Flat,470,470,05/03/2026,56,99.06,99.06
Illinois,IL,Fox Valley Marathon,St. Charles,497,Mostly Flat,0,0,09/20/2026,63,97.87,99.22
